numero_pagina,status,produtos_encontrados,data_processamento
1,Sucesso,50,2025-09-02 23:24:27
2,Sucesso,50,2025-09-02 23:24:31
3,Sucesso,50,2025-09-02 23:24:36
4,Sucesso,50,2025-09-02 23:24:40
5,Sucesso,50,2025-09-02 23:24:43
6,Sucesso,50,2025-09-02 23:24:46
7,Sucesso,50,2025-09-02 23:24:49
8,Sucesso,50,2025-09-02 23:24:52
9,Sucesso,50,2025-09-02 23:24:55
10,Sucesso,50,2025-09-02 23:24:59
